Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,code (product.metafields.custom.code),discount_value (product.metafields.custom.discount_value),gender (product.metafields.custom.gender),gender_list (product.metafields.custom.gender_list),type1 (product.metafields.custom.type1),type2 (product.metafields.custom.type2),type3 (product.metafields.custom.type3),with_images (product.metafields.custom.with_images),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
small-round-tote-grow-bag-smalltote01-natural-green-aw-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_SMALLTOTE01_NATURAL-GREEN_1-01KFV0P4VQDCJZJGVSC09WTX79.jpg?v=1769417053,2,Product image by Kixbox,,,,,,,,,,,,,,,,,,,,
small-round-tote-grow-bag-smalltote01-natural-green-aw-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_SMALLTOTE01_NATURAL-GREEN_2-01KFV0P56CEXQG12JWM7S97PV2.jpg?v=1769417053,3,Product image by Kixbox,,,,,,,,,,,,,,,,,,,,
small-round-tote-grow-bag-smalltote-leopard-aw-25,SMALL ROUND TOTE / GROW BAG,,MISTER GREEN,,"",with_images,false,size,ONE SIZE,,color,LEOPARD,,,,,SMALLTOTE-LEOPARD-AW-25-ONE-SIZE-LEOPARD-2700010517120,0.0,shopify,deny,manual,179.90,179.90,true,true,,,,,'2700010517120,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_SMALLTOTE_LEOPARD_0-01KFV0P2SPTQ2SPE2K4X94M6EC.jpg?v=1769417052,1,Product image by Kixbox,false,,,SMALLTOTE-LEOPARD-AW-25,,,"Mens
Womens",Tote Bag,Bag,Bags,TRUE,,,,,,kg,,,draft
small-round-tote-grow-bag-smalltote-leopard-aw-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_SMALLTOTE_LEOPARD_1-01KFV0P6HNWFMS3YZ1NT0WZ45R.jpg?v=1769417053,2,Product image by Kixbox,,,,,,,,,,,,,,,,,,,,
small-round-tote-grow-bag-smalltote-leopard-aw-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_MISTER-GREEN_SMALLTOTE_LEOPARD_2-01KFV0P2XFG3TMJG56MXG7ZSQD.jpg?v=1769417052,3,Product image by Kixbox,,,,,,,,,,,,,,,,,,,,
interstella-button-up-p25dp010-multi-multi-aw-25,INTERSTELLA BUTTON UP,,PLEASURES,,"",with_images,false,color,MULTI,,size,M,,,,,P25DP010-MULTI-MULTI-AW-25-M-MULTI-2700010150105,0.0,shopify,deny,manual,779.90,779.90,true,true,,,,,'2700010150105,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_PLEASURES_P25DP010-MULTI_MULTI_0-01KFV0NDEK8XNVNNKKXA9FTRXC.jpg?v=1769417052,1,Product image by Kixbox,false,,,P25DP010-MULTI-MULTI-AW-25,,,Mens,Short Sleeve Shirt,Shirt,Shirts and Polos,TRUE,,,,,,kg,,,draft
interstella-button-up-p25dp010-multi-multi-aw-25,,,,,,,,,MULTI,,,XL,,,,,P25DP010-MULTI-MULTI-AW-25-XL-MULTI-2700010150129,0.0,shopify,deny,manual,779.90,779.90,true,true,,,,,'2700010150129,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_PLEASURES_P25DP010-MULTI_MULTI_1-01KFV0ND7KHFA52Z1TSZB3HM4S.jpg?v=1769417052,2,Product image by Kixbox,,,,,,,,,,,,,,,,,kg,,,
interstella-button-up-p25dp010-multi-multi-aw-25,,,,,,,,,MULTI,,,L,,,,,P25DP010-MULTI-MULTI-AW-25-L-MULTI-2700010150112,0.0,shopify,deny,manual,779.90,779.90,true,true,,,,,'2700010150112,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_PLEASURES_P25DP010-MULTI_MULTI_2-01KFV0NDNEKH6F8WP3J2V5K49F.jpg?v=1769417052,3,Product image by Kixbox,,,,,,,,,,,,,,,,,kg,,,
interstella-button-up-p25dp010-multi-multi-aw-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_PLEASURES_P25DP010-MULTI_MULTI_3-01KFV0NJWYZA1W4NGGQ4TXXSQ6.jpg?v=1769417052,4,Product image by Kixbox,,,,,,,,,,,,,,,,,,,,
interstella-button-up-p25dp010-multi-multi-aw-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/AW-25_PLEASURES_P25DP010-MULTI_MULTI_4-01KFV0NW2GF8VQ8D70XXSYJWM0.jpg?v=1769417052,5,Product image by Kixbox,,,,,,,,,,,,,,,,,,,,
