,Handle,Title,Vendor,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Barcode,Image Src,Image Position,Image Alt Text,code (product.metafields.custom.code),gender_list (product.metafields.custom.gender_list),type1 (product.metafields.custom.type1),type2 (product.metafields.custom.type2),type3 (product.metafields.custom.type3),with_images (product.metafields.custom.with_images),Status
6425,packing-up-long-sleeve-bdp25to10044-white-ss-25,PACKING UP LONG SLEEVE,BRAIN DEAD,with_images,False,size,L,color,WHITE,BDP25TO10044-WHITE-SS-25-L-WHITE-2700009548944,399.9,399.9,'2700009548944,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_BRAIN-DEAD_BDP25TO10044_WHITE_0-01K5V7YB1VDX264W4171KJPYB5.jpg?v=1763384293,1.0,Product image by Kixbox,BDP25TO10044-WHITE-SS-25,Mens,Sweater,T-shirt,Light Knitwear,True,draft
6432,yoga-walks-bag-53455-purple-ss-25,Yoga walks bag,BY PARRA,with_images,True,color,PURPLE,size,ONE SIZE,53455-PURPLE-SS-25-ONE-SIZE-PURPLE-2700009542850,129.9,129.9,'2700009542850,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_BY-PARRA_53455_PURPLE_0-01K5V67GRBVX9C92R24VDZ7DSN.jpg?v=1763384279,1.0,Product image by Kixbox,53455-PURPLE-SS-25,"Mens
Womens",Bag,Bag,Bags,True,active
6436,weathergear-denim-shorts-bgq1256301-faded-black-ss-25,Weathergear Denim Shorts,BUTTER GOODS,no_images,False,size,34,color,FADED BLACK,BGQ1256301-FADED-BLACK-SS-25-34-FADED-BLACK-2700009663944,199.95,399.9,'2700009663944,,,,BGQ1256301-FADED BLACK-SS-25,Mens,Denim Shorts,Shorts,Bottoms,,draft
6441,printed-camp-collar-shirt-awk-sp25-tp002-green-ss-25,PRINTED CAMP COLLAR SHIRT,AWAKE NY,with_images,False,size,XL,color,GREEN,AWK-SP25-TP002-GREEN-SS-25-XL-GREEN-2700009547671,849.9,849.9,'2700009547671,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_AWAKE-NY_AWK-SP25-TP002_GREEN_0-01K9AQQ0HF2BFTSH07CA00B6HC.jpg?v=1763384290,1.0,Product image by Kixbox,AWK-SP25-TP002-GREEN-SS-25,Mens,Short Sleeve Shirt,Shirt,Shirts and Polos,True,draft
6444,flannel-wire-brim-hat-bdp25h010042-navy-ss-25,FLANNEL WIRE BRIM HAT,BRAIN DEAD,no_images,False,color,NAVY,size,ONE SIZE,BDP25H010042-NAVY-SS-25-ONE-SIZE-NAVY-2700009548685,399.9,399.9,'2700009548685,,,,BDP25H010042-NAVY-SS-25,"Mens
Womens",Cap,Headwear,Accessories,,draft
6445,classic-logo-socks-awk-sp25-ac008-white-ss-25,CLASSIC LOGO SOCKS,AWAKE NY,with_images,False,size,ONE SIZE,color,WHITE,AWK-SP25-AC008-WHITE-SS-25-ONE-SIZE-WHITE-2700009547213,99.9,99.9,'2700009547213,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_AWAKE-NY_AWK-SP25-AC008_WHITE_0-01K9AQP6FSD0D67DE9DWR8BDPJ.jpg?v=1763384288,1.0,Product image by Kixbox,AWK-SP25-AC008-WHITE-SS-25,"Mens
Womens",Socks,Hosiery,Accessories,True,draft
6447,baggy-denim-shorts-bgq1256103-light-blue-ss-25,Baggy Denim Shorts,BUTTER GOODS,no_images,False,size,32,color,LIGHT BLUE,BGQ1256103-LIGHT-BLUE-SS-25-32-LIGHT-BLUE-2700009663883,174.95,349.9,'2700009663883,,,,BGQ1256103-LIGHT BLUE-SS-25,Mens,Denim Shorts,Shorts,Bottoms,,draft
6452,classic-logo-hoodie-awk-sp25-hd002-shadow-ss-25,CLASSIC LOGO HOODIE,AWAKE NY,with_images,False,size,XL,color,SHADOW,AWK-SP25-HD002-SHADOW-SS-25-XL-SHADOW-2700009547299,749.9,749.9,'2700009547299,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_AWAKE-NY_AWK-SP25-HD002_SHADOW_0-01K9AQPCN5DYCV2MDCTR1M91K4.jpg?v=1763384288,1.0,Product image by Kixbox,AWK-SP25-HD002-SHADOW-SS-25,Mens,Hooded Sweatshirt,Sweatshirt,Sweaters and Sweatshirts,True,draft
6455,sad-cat-enamel-pin-53566-orange-ss-25,Sad cat enamel pin,BY PARRA,with_images,False,size,ONE SIZE,color,ORANGE,53566-ORANGE-SS-25-ONE-SIZE-ORANGE-2700009543079,29.9,29.9,'2700009543079,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_BY-PARRA_53566_ORANGE_0-01K5V68ARA1YA8D7YJY6MN6XNY.jpg?v=1763384276,1.0,Product image by Kixbox,53566-ORANGE-SS-25,"Mens
Womens",Pin,Other,Accessories,True,draft
6457,aloha-from-hell-full-bleed-ss-tee-ar6011303-off-white-ss-25,Aloha From Hell Full Bleed SS Tee,ARIES,with_images,True,size,S,color,OFF WHITE,AR6011303-OFF-WHITE-SS-25-S-OFF-WHITE-2700009544861,849.9,849.9,'2700009544861,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_ARIES_AR6011303_OFF-WHITE_0-01K5V8DPQ0T6J0XZ9B1JH2HYWD.jpg?v=1763384286,1.0,Product image by Kixbox,AR6011303-OFF WHITE-SS-25,Mens,T-shirt Short Sleeve,T-shirt,Light Knitwear,True,active
6463,soccer-jersey-ss-top-awk-sp25-tp006-green-ss-25,SOCCER JERSEY SS TOP,AWAKE NY,with_images,True,color,GREEN,size,M,AWK-SP25-TP006-GREEN-SS-25-M-GREEN-2700009547725,699.9,699.9,'2700009547725,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_AWAKE-NY_AWK-SP25-TP006_GREEN_0-01K9AQQ5FP97XSZ9MC3KNR3S2J.jpg?v=1763384290,1.0,Product image by Kixbox,AWK-SP25-TP006-GREEN-SS-25,Mens,Jersey Short Sleeve Shirt,Shirt,Shirts and Polos,True,active
6467,nylon-logo-applique-pullover-hood-bgq1252204-brown-ss-25,Nylon Logo Applique Pullover Hood,BUTTER GOODS,no_images,False,size,M,color,BROWN,BGQ1252204-BROWN-SS-25-M-BROWN-2700009663241,274.95,549.9,'2700009663241,,,,BGQ1252204-BROWN-SS-25,Mens,Hooded Sweatshirt,Sweatshirt,Sweaters and Sweatshirts,,draft
6470,arbat-tee-arbat-tee-royal-blue-su-25,ARBAT TEE,ОКТЯБРЬ,with_images,True,size,M,color,ROYAL BLUE,ARBAT-TEE-ROYAL-BLUE-SU-25-M-ROYAL-BLUE-2700010023058,169.9,169.9,'2700010023058,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SU-25_ARBAT_TEE_ROYAL-BLUE_0-01K9YHTMSGDJK1CCMXNN9ZMV6C.jpg?v=1763386294,1.0,Product image by Kixbox,ARBAT_TEE-ROYAL BLUE-SU-25,Mens,T-shirt Short Sleeve,T-shirt,Light Knitwear,True,active
6476,horizontal-horse-sigg-bottle-53390-black-ss-25,Horizontal horse SIGG bottle,BY PARRA,with_images,True,color,BLACK,size,ONE SIZE,53390-BLACK-SS-25-ONE-SIZE-BLACK-2700009542690,399.9,399.9,'2700009542690,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_BY-PARRA_53390_BLACK_0-01K5V5DESHRZW3JJ7RWGPJA4CX.jpg?v=1763384274,1.0,Product image by Kixbox,53390-BLACK-SS-25,"Mens
Womens",Thermos,Other,Accessories,True,active
6479,classic-a-hat-awk-sp25-ht007-navy-ss-25,CLASSIC A HAT,AWAKE NY,with_images,True,size,ONE SIZE,color,NAVY,AWK-SP25-HT007-NAVY-SS-25-ONE-SIZE-NAVY-2700009547404,269.9,269.9,'2700009547404,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_AWAKE-NY_AWK-SP25-HT007_NAVY_0-01K9AQPBB8NAWXP1G33TBVH0Z5.jpg?v=1763384289,1.0,Product image by Kixbox,AWK-SP25-HT007-NAVY-SS-25,"Mens
Womens",Cap,Headwear,Accessories,True,active
6482,basic-l-s-tee-bgq1251301-washed-tan-ss-25,Basic L/S Tee,BUTTER GOODS,no_images,False,color,WASHED TAN,size,XL,BGQ1251301-WASHED-TAN-SS-25-XL-WASHED-TAN-2700009663142,149.95,299.9,'2700009663142,,,,BGQ1251301-WASHED TAN-SS-25,Mens,Sweater (Round-neck),Knitted Wear,Sweaters and Sweatshirts,,draft
6485,destroyed-nirvana-ss-tee-ar6001803-black-ss-25,Destroyed Nirvana SS Tee,ARIES,with_images,False,size,XL,color,BLACK,AR6001803-BLACK-SS-25-XL-BLACK-2700009544731,0.0,,'2700009544731,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_ARIES_AR6001803_BLACK_0-01K9AQP1Y52Q193A0ZFG4QXC4M.jpg?v=1763384284,1.0,Product image by Kixbox,AR6001803-BLACK-SS-25,Mens,T-shirt Short Sleeve,T-shirt,Light Knitwear,True,draft
6488,destroyed-69-ss-tee-ar6006903-ecru-ss-25,Destroyed 69 SS Tee,ARIES,with_images,True,size,S,color,ECRU,AR6006903-ECRU-SS-25-S-ECRU-2700009544823,0.0,,'2700009544823,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_ARIES_AR6006903_ECRU_0-01K5V5QQ4XHNJ7YSNYZKKQ8JK0.jpg?v=1763384287,1.0,Product image by Kixbox,AR6006903-ECRU-SS-25,Mens,T-shirt Short Sleeve,T-shirt,Light Knitwear,True,active
6494,nuclear-evolution-t-shirt-bds25t000o44-white-su-25,NUCLEAR EVOLUTION T-SHIRT,BRAIN DEAD,with_images,False,size,M,color,WHITE,BDS25T000O44-WHITE-SU-25-M-WHITE-2700009549552,349.9,349.9,'2700009549552,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SU-25_BRAIN-DEAD_BDS25T000O44_WHITE_0-01K5V5932G05190F1Z7S8SFBK0.jpg?v=1763384298,1.0,Product image by Kixbox,BDS25T000O44-WHITE-SU-25,Mens,T-shirt Short Sleeve,T-shirt,Light Knitwear,True,draft
6500,ramscape-airtex-ls-tee-ar4005003-multi-ss-25,Ramscape Airtex LS Tee,ARIES,with_images,True,size,S,color,MULTI,AR4005003-MULTI-SS-25-S-MULTI-2700009544632,449.95,899.9,'2700009544632,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_ARIES_AR4005003_MULTI_0-01K5V4PFDXGCQ23A4CPDB799GD.jpg?v=1763384285,1.0,Product image by Kixbox,AR4005003-MULTI-SS-25,Mens,Sweater,Knitted Wear,Sweaters and Sweatshirts,True,active
6504,this-damn-chair-t-shirt-53315-white-ss-25,This damn chair t-shirt,BY PARRA,with_images,False,color,WHITE,size,L,53315-WHITE-SS-25-L-WHITE-2700009542621,269.9,269.9,'2700009542621,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_BY-PARRA_53315_WHITE_0-01K5V5GDMEHKJ0RR3CRDGF8HAN.jpg?v=1763384272,1.0,Product image by Kixbox,53315-WHITE-SS-25,Mens,T-shirt Short Sleeve,T-shirt,Light Knitwear,True,draft
6510,column-sock-ar0004903-white-ss-25,Column Sock,ARIES,no_images,False,color,WHITE,size,41-43,AR0004903-WHITE-SS-25-41-43-WHITE-2700009544533,64.95,129.9,'2700009544533,,,,AR0004903-WHITE-SS-25,"Mens
Womens",Socks,Hosiery,Accessories,,draft
6511,logohead-long-brim-mesh-panel-hat-bds25h010042-navy-su-25,LOGOHEAD LONG BRIM MESH PANEL HAT,BRAIN DEAD,with_images,True,color,NAVY,size,ONE SIZE,BDS25H010042-NAVY-SU-25-ONE-SIZE-NAVY-2700009549460,499.9,499.9,'2700009549460,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SU-25_BRAIN-DEAD_BDS25H010042_NAVY_0-01K9AQQYRKJM9F8RTMSYJ94C9T.jpg?v=1763384295,1.0,Product image by Kixbox,BDS25H010042-NAVY-SU-25,"Mens
Womens",Cap,Headwear,Accessories,True,active
6515,aged-ancient-temple-ls-tee-ar6014103-black-ss-25,Aged Ancient Temple LS Tee,ARIES,with_images,False,size,XL,color,BLACK,AR6014103-BLACK-SS-25-XL-BLACK-2700009544939,0.0,,'2700009544939,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_ARIES_AR6014103_BLACK_0-01K5V4MFDTGE10MAG2866M7FSR.jpg?v=1763384285,1.0,Product image by Kixbox,AR6014103-BLACK-SS-25,Mens,Sweater,T-shirt,Light Knitwear,True,draft
6521,stupid-strawberry-enamel-pin-53568-red-ss-25,Stupid strawberry enamel pin,BY PARRA,with_images,False,color,RED,size,ONE SIZE,53568-RED-SS-25-ONE-SIZE-RED-2700009543093,29.9,29.9,'2700009543093,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_BY-PARRA_53568_RED_0-01K5V6W3MR0KHJYCMTF0YQ0PRR.jpg?v=1763384281,1.0,Product image by Kixbox,53568-RED-SS-25,"Mens
Womens",Pin,Other,Accessories,True,draft
6523,madeline-pleated-skirt-411550127-dark-navy-multi-ss-25,MADELINE PLEATED SKIRT,OBEY,no_images,False,size,M,color,DARK NAVY MULTI,411550127-DARK-NAVY-MULTI-SS-25-M-DARK-NAVY-MULTI-2700009482781,439.9,439.9,'2700009482781,,,,411550127-DARK NAVY MULTI-SS-25,Womens,Skirt,Skirts,Bottoms,,draft
6524,column-sock-ar0004903-pink-ss-25,Column Sock,ARIES,with_images,False,color,PINK,size,41-43,AR0004903-PINK-SS-25-41-43-PINK-2700009544540,64.95,129.9,'2700009544540,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_ARIES_AR0004903_PINK_0-01K5V6334QZ98AQ6WMWC4JZH0E.jpg?v=1763384282,1.0,Product image by Kixbox,AR0004903-PINK-SS-25,"Mens
Womens",Socks,Hosiery,Accessories,True,draft
6527,logohead-dress-socks-bds25a090043-multi-zebra-su-25,LOGOHEAD DRESS SOCKS,BRAIN DEAD,with_images,False,size,ONE SIZE,color,MULTI ZEBRA,BDS25A090043-MULTI-ZEBRA-SU-25-ONE-SIZE-MULTI-ZEBRA-2700009549323,199.9,199.9,'2700009549323,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SU-25_BRAIN-DEAD_BDS25A090043_MULTI-ZEBRA_0-01K9AQQYC9DGT1SFMTGQXXN887.jpg?v=1763384294,1.0,Product image by Kixbox,BDS25A090043-MULTI ZEBRA-SU-25,"Mens
Womens",Socks,Hosiery,Accessories,True,draft
6530,ambrosiana-football-jersey-ambrosiana-football-jersey-areana-blue-ss-25,AMBROSIANA FOOTBALL JERSEY,WASTED PARIS,with_images,False,size,XL,color,AREANA BLUE,AMBROSIANA-FOOTBALL-JERSEY-AREANA-BLUE-SS-25-XL-AREANA-BLUE-2700009612652,399.9,399.9,'2700009612652,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_WASTED-PARIS_AMBROSIANA_FOOTBALL_JERSEY_AREANA-BLUE_0-01K5V6VJ2HT41Y1997YF95GS1B.jpg?v=1763384283,1.0,Product image by Kixbox,AMBROSIANA_FOOTBALL_JERSEY-AREANA BLUE-SS-25,Mens,Jersey Short Sleeve T-shirt,T-shirt,Light Knitwear,True,draft
6536,chair-baller-t-shirt-53515-dark-magenta-ss-25,Chair baller t-shirt,BY PARRA,no_images,False,color,DARK MAGENTA,size,M,53515-DARK-MAGENTA-SS-25-M-DARK-MAGENTA-2700009542959,299.9,299.9,'2700009542959,,,,53515-DARK MAGENTA-SS-25,Mens,T-shirt Short Sleeve,T-shirt,Light Knitwear,,draft
6538,logohead-longbrim-hat-bdp25ho10042-leopard-ss-25,LOGOHEAD LONGBRIM HAT,BRAIN DEAD,no_images,False,color,LEOPARD,size,ONE SIZE,BDP25HO10042-LEOPARD-SS-25-ONE-SIZE-LEOPARD-2700009548692,499.9,499.9,'2700009548692,,,,BDP25HO10042-LEOPARD-SS-25,"Mens
Womens",Cap,Headwear,Accessories,,draft
6539,adelaide-pointelle-tank-dress-401500433-chocolate-su-25,ADELAIDE POINTELLE TANK DRESS,OBEY,with_images,False,color,CHOCOLATE,size,S,401500433-CHOCOLATE-SU-25-S-CHOCOLATE-2700009579702,319.9,319.9,'2700009579702,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SU-25_OBEY_401500433_CHOCOLATE_0-01K78XV1MJKDCRQFF55R114KPK.jpg?v=1763384270,1.0,Product image by Kixbox,401500433-CHOCOLATE-SU-25,Womens,Dress,Dress,Dresses,True,draft
6547,acab-hoodie-acab-hoodie-navy-su-25,ACAB HOODIE,ОКТЯБРЬ,with_images,True,size,XL,color,NAVY,ACAB-HOODIE-NAVY-SU-25-XL-NAVY-2700010022815,399.9,399.9,'2700010022815,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SU-25_ACAB_HOODIE_NAVY_0-01K9YF3N8DPFBPMHEKJSQK7PG5.jpg?v=1763386291,1.0,Product image by Kixbox,ACAB_HOODIE-NAVY-SU-25,Mens,Hooded Sweatshirt,Sweatshirt,Sweaters and Sweatshirts,True,active
6553,acab-tee-acab-tee-black-su-25,ACAB TEE,ОКТЯБРЬ,with_images,True,size,L,color,BLACK,ACAB-TEE-BLACK-SU-25-L-BLACK-2700010022907,169.9,169.9,'2700010022907,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SU-25_ACAB_TEE_BLACK_0-01K9YPZ4982P7V1H5MMTKS4PYQ.jpg?v=1763386284,1.0,Product image by Kixbox,ACAB_TEE-BLACK-SU-25,Mens,T-shirt Short Sleeve,T-shirt,Light Knitwear,True,active
6559,classic-logo-sweatpants-awk-sp25-pa007-shadow-ss-25,CLASSIC LOGO SWEATPANTS,AWAKE NY,with_images,False,size,XL,color,SHADOW,AWK-SP25-PA007-SHADOW-SS-25-XL-SHADOW-2700009547619,699.9,699.9,'2700009547619,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_AWAKE-NY_AWK-SP25-PA007_SHADOW_0-01K9AQQ6QCYZ7J3HV6XJ0F5DBC.jpg?v=1763384291,1.0,Product image by Kixbox,AWK-SP25-PA007-SHADOW-SS-25,Mens,Knitted Pants,Pants,Bottoms,True,draft
6563,signature-6-panel-hat-53550-navy-blue-ss-25,Signature 6 panel hat,BY PARRA,with_images,False,size,ONE SIZE,color,NAVY BLUE,53550-NAVY-BLUE-SS-25-ONE-SIZE-NAVY-BLUE-2700009543048,399.9,399.9,'2700009543048,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_BY-PARRA_53550_NAVY-BLUE_0-01K5V5CJTC7P5J837XGH9W13DX.jpg?v=1763384277,1.0,Product image by Kixbox,53550-NAVY BLUE-SS-25,"Mens
Womens",Cap,Headwear,Accessories,True,draft
6567,vertical-horse-t-shirt-53505-green-ss-25,Vertical horse t-shirt,BY PARRA,with_images,False,size,XL,color,GREEN,53505-GREEN-SS-25-XL-GREEN-2700009542942,269.9,269.9,'2700009542942,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_BY-PARRA_53505_GREEN_0-01K5V4W28JZHWNZ47DWH0VTANA.jpg?v=1763384280,1.0,Product image by Kixbox,53505-GREEN-SS-25,Mens,T-shirt Short Sleeve,T-shirt,Light Knitwear,True,draft
6574,vivian-plaid-shirt-281200140-java-brown-multi-ss-25,VIVIAN PLAID SHIRT,OBEY,no_images,False,size,M,color,JAVA BROWN MULTI,281200140-JAVA-BROWN-MULTI-SS-25-M-JAVA-BROWN-MULTI-2700009481265,219.95,439.9,'2700009481265,,,,281200140-JAVA BROWN MULTI-SS-25,Womens,Long Sleeve Shirt,Shirt,Shirts and Polos,,draft
6577,classic-logo-hoodie-awk-sp25-hd002-black-ss-25,CLASSIC LOGO HOODIE,AWAKE NY,with_images,True,color,BLACK,size,M,AWK-SP25-HD002-BLACK-SS-25-M-BLACK-2700009547237,749.9,749.9,'2700009547237,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_AWAKE-NY_AWK-SP25-HD002_BLACK_0-01K9AQPKJ7BA8W8JWMGEF1994T.jpg?v=1763384289,1.0,Product image by Kixbox,AWK-SP25-HD002-BLACK-SS-25,Mens,Hooded Sweatshirt,Sweatshirt,Sweaters and Sweatshirts,True,active
6582,mid-career-6-panel-hat-53475-blue-ss-25,Mid career 6 panel hat,BY PARRA,with_images,False,color,BLUE,size,ONE SIZE,53475-BLUE-SS-25-ONE-SIZE-BLUE-2700009542874,429.9,429.9,'2700009542874,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_BY-PARRA_53475_BLUE_0-01K5V8D03084CGJ44S284BYSQ4.jpg?v=1763384279,1.0,Product image by Kixbox,53475-BLUE-SS-25,"Mens
Womens",Cap,Headwear,Accessories,True,draft
6586,skulled-enamel-pin-53565-white-ss-25,Skulled enamel pin,BY PARRA,with_images,True,color,WHITE,size,ONE SIZE,53565-WHITE-SS-25-ONE-SIZE-WHITE-2700009543062,29.9,29.9,'2700009543062,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_BY-PARRA_53565_WHITE_0-01K5TV2NPD7522SV27CXA56XFP.jpg?v=1763384279,1.0,Product image by Kixbox,53565-WHITE-SS-25,"Mens
Womens",Pin,Other,Accessories,True,active
6588,car-repair-6-panel-hat-53370-blue-ss-25,Car repair 6 panel hat,BY PARRA,with_images,False,color,BLUE,size,ONE SIZE,53370-BLUE-SS-25-ONE-SIZE-BLUE-2700009542676,429.9,429.9,'2700009542676,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_BY-PARRA_53370_BLUE_0-01K5V4KEHRMJ6Y3FAMH1ANYF5T.jpg?v=1763384274,1.0,Product image by Kixbox,53370-BLUE-SS-25,"Mens
Womens",Cap,Headwear,Accessories,True,draft
6592,classic-a-hat-awk-sp25-ht007-cream-ss-25,CLASSIC A HAT,AWAKE NY,with_images,False,size,ONE SIZE,color,CREAM,AWK-SP25-HT007-CREAM-SS-25-ONE-SIZE-CREAM-2700009547398,269.9,269.9,'2700009547398,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_AWAKE-NY_AWK-SP25-HT007_CREAM_0-01K9AQP69S5RZKZTN8R5S89EDM.jpg?v=1763384287,1.0,Product image by Kixbox,AWK-SP25-HT007-CREAM-SS-25,"Mens
Womens",Cap,Headwear,Accessories,True,draft
6596,trivia-2519-68-05-beige-grey-ss-25,Trivia,AKILA EYEWEAR,with_images,True,color,BEIGE / GREY,size,ONE SIZE,2519-68-05-BEIGE-GREY-SS-25-ONE-SIZE-BEIGE-GREY-2700010166885,899.9,899.9,'2700010166885,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_AKILA-EYEWEAR_2519-68-05_BEIGE---GREY_0-01K5V7JFJ2113FX6PZN52G2XFH.jpg?v=1763384267,1.0,Product image by Kixbox,2519-68-05-BEIGE / GREY-SS-25,"Mens
Womens",Sunglasses,Other,Accessories,True,active
6600,the-broken-door-t-shirt-53400-white-ss-25,The broken door t-shirt,BY PARRA,with_images,False,size,M,color,WHITE,53400-WHITE-SS-25-M-WHITE-2700009542706,269.9,269.9,'2700009542706,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_BY-PARRA_53400_WHITE_0-01K5V670G6KNKB10CJ8KVY20VA.jpg?v=1763384275,1.0,Product image by Kixbox,53400-WHITE-SS-25,Mens,T-shirt Short Sleeve,T-shirt,Light Knitwear,True,draft
6607,yoga-discounts-t-shirt-53405-white-ss-25,Yoga discounts t-shirt,BY PARRA,with_images,False,size,L,color,WHITE,53405-WHITE-SS-25-L-WHITE-2700009542744,269.9,269.9,'2700009542744,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_BY-PARRA_53405_WHITE_0-01K5V5HAYBJY2GDSCVCEASA46B.jpg?v=1763384272,1.0,Product image by Kixbox,53405-WHITE-SS-25,Mens,T-shirt Short Sleeve,T-shirt,Light Knitwear,True,draft
6614,faded-cola-ls-tee-ar6265203-off-white-ss-25,Faded Cola LS Tee,ARIES,with_images,False,size,L,color,OFF WHITE,AR6265203-OFF-WHITE-SS-25-L-OFF-WHITE-2700009544960,699.9,699.9,'2700009544960,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_ARIES_AR6265203_OFF-WHITE_0-01K5V5Q94E333ZZ1V701KG6VQC.jpg?v=1763384286,1.0,Product image by Kixbox,AR6265203-OFF WHITE-SS-25,Mens,Sweater,T-shirt,Light Knitwear,True,draft
6620,signature-striped-crew-socks-53465-off-white-ss-25,Signature striped crew socks,BY PARRA,with_images,False,color,OFF WHITE,size,ONE SIZE,53465-OFF-WHITE-SS-25-ONE-SIZE-OFF-WHITE-2700009542867,149.9,149.9,'2700009542867,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_BY-PARRA_53465_OFF-WHITE_0-01K5V7Y9JBJ77WV4R1F106Z4HT.jpg?v=1763384277,1.0,Product image by Kixbox,53465-OFF WHITE-SS-25,"Mens
Womens",Socks,Hosiery,Accessories,True,draft
6622,unreasonable-chairs-t-shirt-53305-white-ss-25,Unreasonable chairs t-shirt,BY PARRA,no_images,False,color,WHITE,size,XL,53305-WHITE-SS-25-XL-WHITE-2700009542577,269.9,269.9,'2700009542577,,,,53305-WHITE-SS-25,Mens,T-shirt Short Sleeve,T-shirt,Light Knitwear,,draft
6623,bloom-polo-sweater-251010074-navy-ss-25,BLOOM POLO SWEATER,OBEY,no_images,False,color,NAVY,size,XS,251010074-NAVY-SS-25-XS-NAVY-2700009476933,539.9,539.9,'2700009476933,,,,251010074-NAVY-SS-25,Womens,Polo Sweater,Knitted Wear,Sweaters and Sweatshirts,,draft
6625,the-stalker-t-shirt-53110-washed-grey-ss-25,The stalker t-shirt,BY PARRA,no_images,False,size,L,color,WASHED GREY,53110-WASHED-GREY-SS-25-L-WASHED-GREY-2700009542188,269.9,269.9,'2700009542188,,,,53110-WASHED GREY-SS-25,Mens,T-shirt Short Sleeve,T-shirt,Light Knitwear,,draft
6626,lace-print-boxer-shorts-ar0000203-brown-ss-25,Lace Print Boxer Shorts,ARIES,with_images,False,size,XL,color,BROWN,AR0000203-BROWN-SS-25-XL-BROWN-2700009544519,0.0,,'2700009544519,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_ARIES_AR0000203_BROWN_0-01K5V66WHKBRABNXZ7R3BEFXJV.jpg?v=1763384284,1.0,Product image by Kixbox,AR0000203-BROWN-SS-25,Mens,Shorts,Shorts,Bottoms,True,draft
6628,there-will-be-not-long-sleeve-t-shirt-53430-white-ss-25,There will be not long sleeve t-shirt,BY PARRA,with_images,False,color,WHITE,size,XL,53430-WHITE-SS-25-XL-WHITE-2700009542782,349.9,349.9,'2700009542782,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_BY-PARRA_53430_WHITE_0-01K5V7KW47HJX93XJWBQ9CS3C1.jpg?v=1763384274,1.0,Product image by Kixbox,53430-WHITE-SS-25,Mens,Sweater,T-shirt,Light Knitwear,True,draft
6635,the-stalkers-shirt-53130-washed-grey-ss-25,The stalkers shirt,BY PARRA,no_images,False,size,L,color,WASHED GREY,53130-WASHED-GREY-SS-25-L-WASHED-GREY-2700009542270,514.95,1029.9,'2700009542270,,,,53130-WASHED GREY-SS-25,Mens,Short Sleeve Shirt,Shirt,Shirts and Polos,,draft
6636,vivian-plaid-dress-401500435-java-brown-multi-ss-25,VIVIAN PLAID DRESS,OBEY,no_images,False,size,M,color,JAVA BROWN MULTI,401500435-JAVA-BROWN-MULTI-SS-25-M-JAVA-BROWN-MULTI-2700009482095,219.95,439.9,'2700009482095,,,,401500435-JAVA BROWN MULTI-SS-25,Womens,Dress,Dress,Dresses,,draft
