,Handle,Title,Vendor,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Barcode,Image Src,Image Position,Image Alt Text,code (product.metafields.custom.code),gender_list (product.metafields.custom.gender_list),type1 (product.metafields.custom.type1),type2 (product.metafields.custom.type2),type3 (product.metafields.custom.type3),with_images (product.metafields.custom.with_images),Status
4392,w-s-s-cream-of-the-crop-t-shirt-i035244-white-su-25,W' S/S Cream Of The Crop T-Shirt,CARHARTT WIP,with_images,True,size,XS,color,WHITE,I035244-WHITE-SU-25-XS-WHITE-2700009705583,199.9,199.9,'2700009705583,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SU-25_CARHARTT-WIP_I035244_WHITE_0-01K78Y9M4ZEG6PV6WBDDDXMV4Q.jpg?v=1763384473,1.0,Product image by Kixbox,I035244-WHITE-SU-25,Womens,T-shirt Short Sleeve,T-shirt,Light Knitwear,True,active
4398,l-s-notus-shirt-i034697-bova-stripe-bluebird-ss-25,L/S Notus Shirt,CARHARTT WIP,no_images,False,size,M,color,"BOVA STRIPE, BLUEBIRD",I034697-BOVA-STRIPE-BLUEBIRD-SS-25-M-BOVA-STRIPE-BLUEBIRD-2700009362977,249.95,499.9,'2700009362977,,,,"I034697-BOVA STRIPE, BLUEBIRD-SS-25",Mens,Long Sleeve Shirt,Shirt,Shirts and Polos,,draft
4399,clapton-tote-bag-i034457-black-ho-24,Clapton Tote Bag,CARHARTT WIP,no_images,False,size,ONE SIZE,color,BLACK,I034457-BLACK-HO-24-ONE-SIZE-BLACK-2700009209982,249.9,249.9,'2700009209982,,,,I034457-BLACK-HO-24,"Mens
Womens",Shopper Bag,Bag,Bags,,draft
4400,heart-clip-belt-i034631-black-gold-ss-25,Heart Clip Belt,CARHARTT WIP,with_images,False,size,ONE SIZE,color,BLACK / GOLD,I034631-BLACK-GOLD-SS-25-ONE-SIZE-BLACK-GOLD-2700009399805,89.95,179.9,'2700009399805,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_CARHARTT-WIP_I034631_BLACK---GOLD_0-01K5V87JH6N15DP2XSMYSVXH15.jpg?v=1763384434,1.0,Product image by Kixbox,I034631-BLACK / GOLD-SS-25,"Mens
Womens",Textile Belt,Belts,Accessories,True,draft
4402,s-s-craft-shirt-i035232-black-ss-25,S/S Craft Shirt,CARHARTT WIP,no_images,False,color,BLACK,size,XXL,I035232-BLACK-SS-25-XXL-BLACK-2700009388151,349.9,349.9,'2700009388151,,,,I035232-BLACK-SS-25,Mens,Short Sleeve Shirt,Shirt,Shirts and Polos,,draft
4403,s-s-hartt-chain-t-shirt-i034663-black-ss-25,S/S Hartt Chain T-Shirt,CARHARTT WIP,no_images,False,size,L,color,BLACK,I034663-BLACK-SS-25-L-BLACK-2700009359106,259.9,259.9,'2700009359106,,,,I034663-BLACK-SS-25,Mens,T-shirt Short Sleeve,T-shirt,Light Knitwear,,draft
4404,alec-wallet-i031471-black-ss-25,Alec Wallet,CARHARTT WIP,with_images,True,color,BLACK,size,ONE SIZE,I031471-BLACK-SS-25-ONE-SIZE-BLACK-2700009391083,149.9,149.9,'2700009391083,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_CARHARTT-WIP_I031471_BLACK_0-01K5V6SKJG872JQ5AN1VPN3TS5.jpg?v=1763384392,1.0,Product image by Kixbox,I031471-BLACK-SS-25,"Mens
Womens",Wallet,Wallets,Accessories,True,active
4407,l-s-terrestrial-t-shirt-i035227-white-pink-fog-pigment-garment-dyed-su-25,L/S Terrestrial T-Shirt,CARHARTT WIP,with_images,False,size,XL,color,WHITE / PINK FOG (PIGMENT GARMENT DYED),I035227-WHITE-PINK-FOG-PIGMENT-GARMENT-DYED-SU-25-XL-WHITE-PINK-FOG-PIGMENT-GARMENT-DYED-2700009704845,349.9,349.9,'2700009704845,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SU-25_CARHARTT-WIP_I035227_WHITE---PINK-FOG-_PIGMENT-GARMENT-DYED__0-01K78Z06YH9P6FA98Y3D3T9T5K.jpg?v=1763384468,1.0,Product image by Kixbox,I035227-WHITE / PINK FOG (PIGMENT GARMENT DYED)-SU-25,Mens,Sweater,Knitted Wear,Sweaters and Sweatshirts,True,draft
4413,l-s-chain-link-t-shirt-i034403-black-silver-ho-24,L/S Chain Link T-Shirt,CARHARTT WIP,no_images,False,color,BLACK / SILVER,size,XL,I034403-BLACK-SILVER-HO-24-XL-BLACK-SILVER-2700009204536,154.95,309.9,'2700009204536,,,,I034403-BLACK / SILVER-HO-24,Mens,Long Sleeve T-shirt,T-shirt,Light Knitwear,,draft
4416,s-s-muddy-water-t-shirt-i034652-white-ss-25,S/S Muddy Water T-Shirt,CARHARTT WIP,with_images,False,size,XXL,color,WHITE,I034652-WHITE-SS-25-XXL-WHITE-2700009356662,239.9,239.9,'2700009356662,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_CARHARTT-WIP_I034652_WHITE_0-01K5TV2TCR34FNFVH3Z3Q68P5N.jpg?v=1763384437,1.0,Product image by Kixbox,I034652-WHITE-SS-25,Mens,T-shirt Short Sleeve,T-shirt,Light Knitwear,True,draft
4422,s-s-underground-t-shirt-i034642-white-ss-25,S/S Underground T-Shirt,CARHARTT WIP,no_images,False,size,S,color,WHITE,I034642-WHITE-SS-25-S-WHITE-2700009354965,239.9,239.9,'2700009354965,,,,I034642-WHITE-SS-25,Mens,T-shirt Short Sleeve,T-shirt,Light Knitwear,,draft
4423,essentials-bag-small-i031470-black-aw-24,"Essentials Bag, Small",CARHARTT WIP,no_images,False,color,BLACK,size,ONE SIZE,I031470-BLACK-AW-24-ONE-SIZE-BLACK-2700008771022,249.9,249.9,'2700008771022,,,,I031470-BLACK-AW-24,"Mens
Womens",Small Bag,Bag,Bags,,draft
4424,s-s-jake-garcia-t-shirt-i035208-black-su-25,S/S Jake Garcia T-Shirt,CARHARTT WIP,with_images,False,size,M,color,BLACK,I035208-BLACK-SU-25-M-BLACK-2700009703909,349.9,349.9,'2700009703909,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SU-25_CARHARTT-WIP_I035208_BLACK_0-01K78Z3GEMJGA0SX7W1TMA6NG9.jpg?v=1763384465,1.0,Product image by Kixbox,I035208-BLACK-SU-25,Mens,T-shirt Short Sleeve,T-shirt,Light Knitwear,True,draft
4430,s-s-muddy-water-t-shirt-i034652-turtle-ss-25,S/S Muddy Water T-Shirt,CARHARTT WIP,with_images,True,size,L,color,TURTLE,I034652-TURTLE-SS-25-L-TURTLE-2700009356761,0.0,,'2700009356761,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_CARHARTT-WIP_I034652_TURTLE_0-01K9AQW8T8YABC290WW1KHPAZ9.jpg?v=1763384436,1.0,Product image by Kixbox,I034652-TURTLE-SS-25,Mens,T-shirt Short Sleeve,T-shirt,Light Knitwear,True,active
4435,heart-metal-cap-i034609-black-black-ss-25,Heart Metal Cap,CARHARTT WIP,no_images,False,color,BLACK / BLACK,size,ONE SIZE,I034609-BLACK-BLACK-SS-25-ONE-SIZE-BLACK-BLACK-2700009399010,299.9,299.9,'2700009399010,,,,I034609-BLACK / BLACK-SS-25,"Mens
Womens",Cap,Headwear,Accessories,,draft
4436,s-s-greatest-hits-t-shirt-i034394-black-white-ho-24,S/S Greatest Hits T-Shirt,CARHARTT WIP,no_images,False,color,BLACK / WHITE,size,XXL,I034394-BLACK-WHITE-HO-24-XXL-BLACK-WHITE-2700009203249,259.9,259.9,'2700009203249,,,,I034394-BLACK / WHITE-HO-24,Mens,T-shirt Short Sleeve,T-shirt,Light Knitwear,,draft
4438,s-s-masterpiece-t-shirt-i035196-air-force-blue-su-25,S/S Masterpiece T-Shirt,CARHARTT WIP,with_images,False,size,S,color,AIR FORCE BLUE,I035196-AIR-FORCE-BLUE-SU-25-S-AIR-FORCE-BLUE-2700009701912,259.9,259.9,'2700009701912,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SU-25_CARHARTT-WIP_I035196_AIR-FORCE-BLUE_0-01K78Y83D7R7N6EPRD02KM0P48.jpg?v=1763384463,1.0,Product image by Kixbox,I035196-AIR FORCE BLUE-SU-25,Mens,T-shirt Short Sleeve,T-shirt,Light Knitwear,True,draft
4444,heart-clip-belt-i034631-black-silver-su-25,Heart Clip Belt,CARHARTT WIP,with_images,True,size,ONE SIZE,color,BLACK / SILVER,I034631-BLACK-SILVER-SU-25-ONE-SIZE-BLACK-SILVER-2700009694474,179.9,179.9,'2700009694474,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SU-25_CARHARTT-WIP_I034631_BLACK---SILVER_0-01K9AQYER7ER6SQQ7N2KVCH8HB.jpg?v=1763384434,1.0,Product image by Kixbox,I034631-BLACK / SILVER-SU-25,"Mens
Womens",Textile Belt,Belts,Accessories,True,active
4446,canby-tote-bag-i034597-clay-blue-ss-25,Canby Tote Bag,CARHARTT WIP,no_images,False,color,CLAY BLUE,size,ONE SIZE,I034597-CLAY-BLUE-SS-25-ONE-SIZE-CLAY-BLUE-2700009398150,174.95,349.9,'2700009398150,,,,I034597-CLAY BLUE-SS-25,"Mens
Womens",Shopper Bag,Bag,Bags,,draft
4447,reno-shirt-jac-i031447-yosemite-garment-dyed-ss-25,Reno Shirt Jac,CARHARTT WIP,with_images,False,size,L,color,YOSEMITE (GARMENT DYED),I031447-YOSEMITE-GARMENT-DYED-SS-25-L-YOSEMITE-GARMENT-DYED-2700009322377,294.95,589.9,'2700009322377,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_CARHARTT-WIP_I031447_YOSEMITE-_GARMENT-DYED__0-01K5V6XXTDQZ89AVAQ2AJJDEGC.jpg?v=1763384388,1.0,Product image by Kixbox,I031447-YOSEMITE (GARMENT DYED)-SS-25,Mens,Long Sleeve Shirt,Shirt,Shirts and Polos,True,draft
4453,leather-canvas-backpack-i034341-black-ho-24,Leather Canvas Backpack,CARHARTT WIP,with_images,False,size,ONE SIZE,color,BLACK,I034341-BLACK-HO-24-ONE-SIZE-BLACK-2700009199573,349.95,699.9,'2700009199573,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/HO-24_CARHARTT-WIP_I034341_BLACK_0-01K9AQW3QQNG1W14CRXFB1AH9N.jpg?v=1763384425,1.0,Product image by Kixbox,I034341-BLACK-HO-24,"Mens
Womens",Backpack,Backpack,Bags,True,draft
4462,s-s-pronto-t-shirt-i035195-white-su-25,S/S Pronto T-Shirt,CARHARTT WIP,with_images,True,size,S,color,WHITE,I035195-WHITE-SU-25-S-WHITE-2700009701677,259.9,259.9,'2700009701677,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SU-25_CARHARTT-WIP_I035195_WHITE_0-01K78Y7JPAK591NB9SSPPK521Z.jpg?v=1763384461,1.0,Product image by Kixbox,I035195-WHITE-SU-25,Mens,T-shirt Short Sleeve,T-shirt,Light Knitwear,True,active
4468,s-s-catalogue-t-shirt-i034644-blue-iris-air-pink-ss-25,S/S Catalogue T-Shirt,CARHARTT WIP,with_images,False,size,XXL,color,BLUE IRIS / AIR PINK,I034644-BLUE-IRIS-AIR-PINK-SS-25-XXL-BLUE-IRIS-AIR-PINK-2700009355665,259.9,259.9,'2700009355665,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_CARHARTT-WIP_I034644_BLUE-IRIS---AIR-PINK_0-01K7797V1MB3QCKCQR98D554TW.jpg?v=1763384432,1.0,Product image by Kixbox,I034644-BLUE IRIS / AIR PINK-SS-25,Mens,T-shirt Short Sleeve,T-shirt,Light Knitwear,True,draft
4474,cuban-link-keychain-i034580-silver-ho-24,Cuban Link Keychain,CARHARTT WIP,no_images,False,color,SILVER,size,ONE SIZE,I034580-SILVER-HO-24-ONE-SIZE-SILVER-2700009210360,149.9,149.9,'2700009210360,,,,I034580-SILVER-HO-24,"Mens
Womens",Key Holder,Other,Accessories,,draft
4475,nychair-x-ottoman-i034271-hamilton-brown-aw-24,Nychair X Ottoman,CARHARTT WIP,no_images,False,color,HAMILTON BROWN,size,ONE SIZE,I034271-HAMILTON-BROWN-AW-24-ONE-SIZE-HAMILTON-BROWN-2700008791723,1809.9,1809.9,'2700008791723,,,,I034271-HAMILTON BROWN-AW-24,"Mens
Womens",Folding Stool,Home Accessories,Accessories,,draft
4476,brandon-pant-i031246-black-stone-washed-ss-25,Brandon Pant,CARHARTT WIP,with_images,True,color,BLACK (STONE WASHED),size,L,I031246-BLACK-STONE-WASHED-SS-25-L-BLACK-STONE-WASHED-2700009278124,449.9,449.9,'2700009278124,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_CARHARTT-WIP_I031246_BLACK-_STONE-WASHED__0-01K5V6RK26908MSNA2CS5846F8.jpg?v=1763384386,1.0,Product image by Kixbox,I031246-BLACK (STONE WASHED)-SS-25,Mens,Jeans (Loose fit),Pants,Bottoms,True,active
4482,hooded-heart-ii-hartt-sweat-jacket-i035176-ash-heather-su-25,Hooded Heart II Hartt Sweat Jacket,CARHARTT WIP,with_images,False,color,ASH HEATHER,size,XXL,I035176-ASH-HEATHER-SU-25-XXL-ASH-HEATHER-2700009698915,699.9,699.9,'2700009698915,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SU-25_CARHARTT-WIP_I035176_ASH-HEATHER_0-01K78Z1JTNQ798D50GDE17TF6J.jpg?v=1763384458,1.0,Product image by Kixbox,I035176-ASH HEATHER-SU-25,Mens,Zippered Hooded Sweatshirt,Sweatshirt,Sweaters and Sweatshirts,True,draft
4488,w-s-s-lovilia-shirt-i034558-blue-bleached-ss-25,W S/S Lovilia Shirt,CARHARTT WIP,no_images,False,size,XS,color,BLUE (BLEACHED),I034558-BLUE-BLEACHED-SS-25-XS-BLUE-BLEACHED-2700009349763,449.9,449.9,'2700009349763,,,,I034558-BLUE (BLEACHED)-SS-25,Womens,Short Sleeve Shirt,Shirt,Shirts and Polos,,draft
4489,madison-logo-bucket-hat-i034607-black-white-ss-25,Madison Logo Bucket Hat,CARHARTT WIP,with_images,True,size,L/XL,color,BLACK / WHITE,I034607-BLACK-WHITE-SS-25-L-XL-BLACK-WHITE-2700009398662,239.9,239.9,'2700009398662,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_CARHARTT-WIP_I034607_BLACK---WHITE_0-01K7797MTTH79E21YZZF6V52KK.jpg?v=1763384431,1.0,Product image by Kixbox,I034607-BLACK / WHITE-SS-25,"Mens
Womens",Panama Hat,Headwear,Accessories,True,active
4493,canvas-graphic-tote-i033975-arcan-print-dusty-h-brown-su-25,Canvas Graphic Tote,CARHARTT WIP,with_images,True,size,ONE SIZE,color,"ARCAN PRINT, DUSTY H BROWN",I033975-ARCAN-PRINT-DUSTY-H-BROWN-SU-25-ONE-SIZE-ARCAN-PRINT-DUSTY-H-BROWN-2700009693163,249.9,249.9,'2700009693163,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SU-25_CARHARTT-WIP_I033975_ARCAN-PRINT-DUSTY-H-BROWN_0-01K9AQVW43BF7JA5MASSTF8M34.jpg?v=1763384421,1.0,Product image by Kixbox,"I033975-ARCAN PRINT, DUSTY H BROWN-SU-25","Mens
Womens",Tote Bag,Bag,Bags,True,active
4496,s-s-hudson-pocket-t-shirt-i035140-sorrent-chalk-wash-su-25,S/S Hudson Pocket T-Shirt,CARHARTT WIP,with_images,True,color,SORRENT (CHALK WASH),size,XXL,I035140-SORRENT-CHALK-WASH-SU-25-XXL-SORRENT-CHALK-WASH-2700009696553,309.9,309.9,'2700009696553,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SU-25_CARHARTT-WIP_I035140_SORRENT-_CHALK-WASH__0-01K78YX9P7VYSE5FHYZYFSVPM5.jpg?v=1763384456,1.0,Product image by Kixbox,I035140-SORRENT (CHALK WASH)-SU-25,Mens,T-shirt Short Sleeve,T-shirt,Light Knitwear,True,active
4502,cole-cargo-pant-i031218-office-green-garment-dyed-aw-24,Cole Cargo Pant,CARHARTT WIP,no_images,False,color,OFFICE GREEN (GARMENT DYED),size,31,I031218-OFFICE-GREEN-GARMENT-DYED-AW-24-31-OFFICE-GREEN-GARMENT-DYED-2700008817300,659.9,659.9,'2700008817300,,,,I031218-OFFICE GREEN (GARMENT DYED)-AW-24,Mens,Cargo Pants (Relaxed fit),Pants,Bottoms,,draft
4506,canby-cap-i034601-yosemite-white-ss-25,Canby Cap,CARHARTT WIP,no_images,False,color,YOSEMITE / WHITE,size,ONE SIZE,I034601-YOSEMITE-WHITE-SS-25-ONE-SIZE-YOSEMITE-WHITE-2700009398297,239.9,239.9,'2700009398297,,,,I034601-YOSEMITE / WHITE-SS-25,"Mens
Womens",Cap,Headwear,Accessories,,draft
4507,s-s-niven-shirt-i034542-niven-check-wall-wax-ss-25,S/S Niven Shirt,CARHARTT WIP,no_images,False,size,S,color,"NIVEN CHECK, WALL / WAX",I034542-NIVEN-CHECK-WALL-WAX-SS-25-S-NIVEN-CHECK-WALL-WAX-2700009348353,499.9,499.9,'2700009348353,,,,"I034542-NIVEN CHECK, WALL / WAX-SS-25",Mens,Short Sleeve Shirt,Shirt,Shirts and Polos,,draft
4509,w-brady-pant-i033770-black-garment-dyed-softener-ho-24,W Brady Pant,CARHARTT WIP,no_images,False,color,BLACK (GARMENT DYED SOFTENER),size,M,I033770-BLACK-GARMENT-DYED-SOFTENER-HO-24-M-BLACK-GARMENT-DYED-SOFTENER-2700009196862,499.9,499.9,'2700009196862,,,,I033770-BLACK (GARMENT DYED SOFTENER)-HO-24,Womens,Chino Pants (Loose fit),Pants,Bottoms,,draft
4510,bottle-zip-opener-i034915-gold-ss-25,Bottle Zip Opener,CARHARTT WIP,with_images,False,color,GOLD,size,ONE SIZE,I034915-GOLD-SS-25-ONE-SIZE-GOLD-2700009386614,309.9,309.9,'2700009386614,https://cdn.shopify.com/s/files/1/0685/2925/8577/files/SS-25_CARHARTT-WIP_I034915_GOLD_0-01K5V85SBFWZ2CA9225AF9P045.jpg?v=1763384453,1.0,Product image by Kixbox,I034915-GOLD-SS-25,"Mens
Womens",Bottle Opener,Other,Accessories,True,draft
